LotNO,target,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43
503,131.1,6210,8280,9384,814200,41.87916664,8556,87630,151.8,1711.2,140.76,1297.2,89700,63.48,66.24,62.1,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-8280,107.64,33534,368.46,223.56,92.598,157.32,396.06,264.96,54.096,276,28060,2162,1150,0,1518,0,4278
504,131.1,6210,9660,9384,814200,41.30416673,8418,8431.8,151.8,1711.2,140.76,1297.2,89700,63.48,66.24,62.1,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-8280,107.64,33534,368.46,223.56,92.598,157.32,396.06,264.96,54.096,276,28060,2162,1150,0,1518,0,4278
505,131.1,6210,9660,9384,814200,41.4,8418,8680.2,151.8,1711.2,140.76,1297.2,89700,63.48,66.24,62.1,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-8280,107.64,33534,368.46,223.56,92.598,157.32,396.06,264.96,54.096,276,28060,2162,1150,0,1518,0,4278
506,131.1,6210,8280,9384,814200,41.30416673,8556,8500.8,151.8,1711.2,140.76,1297.2,89700,63.48,66.24,62.1,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-8280,107.64,33534,368.46,223.56,92.598,157.32,396.06,264.96,54.096,276,28060,2162,1150,0,1518,0,4278
507,132.48,7038,11730,7452,814200,41.87916664,8556,9135.6,151.8,1711.2,140.76,1297.2,89700,63.48,66.24,62.1,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-7866,100.74,36846,357.42,224.94,93.288,160.08,398.82,263.58,52.578,552,29900,2576,1242,0,1380,0,4692
508,132.48,7038,12420,7452,814200,41.78333336,8556,8914.8,151.8,1711.2,140.76,1297.2,89700,63.48,66.24,62.1,12696,13938,400.2,8280,6182.4,26082,924.6,0,138,0,-7866,100.74,36846,357.42,224.94,93.288,160.08,398.82,263.58,52.578,552,29900,2576,1242,0,1380,0,4692
509,132.48,7038,13110,7452,814200,42.07083332,8556,9163.2,151.8,1725,140.76,1297.2,82800,52.44,53.82,51.06,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,100.74,36846,357.42,224.94,93.288,160.08,398.82,263.58,52.578,552,29900,2576,1242,0,1380,0,4692
510,132.48,7038,12420,7452,814200,41.01666664,8556,8873.4,151.8,1725,140.76,1297.2,82800,52.44,53.82,51.06,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,100.74,36846,357.42,224.94,93.288,160.08,398.82,263.58,52.578,552,29900,2576,1242,0,1380,0,4692
511,133.86,7038,13800,7452,814200,41.11250005,8556,9135.6,151.8,1725,140.76,1297.2,82800,52.44,53.82,51.06,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,100.74,36846,357.42,224.94,93.288,160.08,398.82,263.58,52.578,552,29900,2576,1242,0,1380,0,4692
512,132.48,7038,12420,7452,814200,42.07083332,8556,9039,151.8,1725,140.76,1297.2,82800,52.44,53.82,51.06,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,100.74,37260,357.42,223.56,93.15,157.32,393.3,262.2,52.992,644,28520,2438,1058,0,1196,0,4646
